GEO_ID,NAME,DP05_0033E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0071PE,DP05_0089E,DP05_0002PE,DP05_0003PE,DP05_0005PE,DP05_0006PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0017PE,DP05_0018E,DP05_0019PE,DP05_0020PE,DP05_0021PE,DP05_0022PE,DP05_0023PE,DP05_0024PE
0500000US72019,"Barranquitas Municipio, Puerto Rico",28755,88.9,4.8,0.1,0,100,11328,49.3,50.7,5.8,6.6,6.3,7.7,8,13.8,11.5,13.3,6.1,6.4,8.4,4.4,1.5,36.4,23.2,79.9,76.8,71.6,18.1,14.4
0500000US72129,"San Lorenzo Municipio, Puerto Rico",37873,77.4,16.9,0.1,0.1,99.9,15617,48.7,51.3,4.4,6,5.5,6.8,7,12.7,12.6,14.1,6.5,7.2,9.9,5.1,2.3,41,20,82.2,80,75.9,21.7,17.3
0500000US72023,"Cabo Rojo Municipio, Puerto Rico",49005,27.9,2,0.2,0,99.9,21024,47.4,52.6,4,5.1,6.3,6.6,6.5,10.9,13.1,13.8,5.9,6,11.9,7.9,1.9,43.2,19.3,83.2,80.7,76.9,26.1,21.8
0500000US72065,"Hatillo Municipio, Puerto Rico",40390,97.7,0.6,0,0,99.9,17070,48,52,4.2,5.2,6.4,6.6,6.6,12.6,13.2,14,5.9,6.7,11.1,5.7,1.9,41.5,19.7,82.9,80.3,76.7,23,18.7
0500000US72105,"Naranjito Municipio, Puerto Rico",28557,84.4,6.4,0,0,99.9,11543,49.2,50.8,5.2,5.2,6.5,6.8,7.2,13.2,11.7,13.2,6.7,6.8,10.1,5,2.4,39.4,21,81.6,79,75.3,21.3,17.5
0500000US72151,"Yabucoa Municipio, Puerto Rico",34149,30.7,66.6,0.1,0,99.9,14244,48.4,51.6,4.3,6.1,5.8,6.8,6.9,11.5,12.2,13.6,6.6,7.5,11.2,5,2.4,42.5,20.3,82.4,79.7,75.8,22.9,18.6
0500000US72017,"Barceloneta Municipio, Puerto Rico",24299,86.2,3.5,0,0.6,99.8,10233,47.5,52.5,5.2,5.3,6.6,6.9,7.1,12.9,14.1,12.8,4.4,6.4,10.5,5.9,1.8,39.9,21.3,81.3,78.7,74,22.3,18.2
0500000US72087,"Lo�za Municipio, Puerto Rico",26463,23.7,38.1,0.2,0.3,99.8,11199,46.6,53.4,4.7,6.7,6.3,6.9,7.4,13.6,12.2,12.7,7.8,5.8,9.5,4.6,1.9,38.9,21.9,80.9,78.1,74.2,19.5,15.9
0500000US72075,"Juana D�az Municipio, Puerto Rico",46960,46.3,8.7,0.1,0.2,99.8,19232,47.7,52.3,5.4,6.5,6.4,7.2,7.4,12.3,13,13.3,6.3,5.9,9.6,5,1.7,38.1,22.7,80.5,77.3,72.6,19.9,16.3
0500000US72015,"Arroyo Municipio, Puerto Rico",18111,60.4,18.9,0,0,99.8,7683,47,53,4.8,4.8,8.8,6.9,6.8,12.3,13.3,12.3,5.4,6.6,11,5.2,1.7,39.6,22.6,80.5,77.4,71.5,21.5,17.9
