ID,Year,LocationAbbr,LocationDesc,Class,Topic,Indicator,DataSource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,FootnoteType,FootNoteSymbol,FootnoteText,URL,DatasourceAbbr
556056,2017,AL,Alabama,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,41.9,,,40.3,43.4,,Overall,Overall,BR011,,,,,
553402,2017,AK,Alaska,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,31.8,,,29.2,34.5,,Overall,Overall,BR011,,,,,
555838,2017,AZ,Arizona,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,30.7,,,29.8,31.5,,Overall,Overall,BR011,,,,,
554605,2017,AR,Arkansas,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,41.3,,,39,43.7,,Overall,Overall,BR011,,,,,
553867,2017,CA,California,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,28.4,,,27.1,29.6,,Overall,Overall,BR011,,,,,
554134,2017,CO,Colorado,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,25.9,,,24.9,26.9,,Overall,Overall,BR011,,,,,
555175,2017,CT,Connecticut,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,30.5,,,29.3,31.7,,Overall,Overall,BR011,,,,,
555222,2017,DE,Delaware,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,34.9,,,32.9,36.9,,Overall,Overall,BR011,,,,,
556237,2017,DC,"Washington, DC",Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,26.7,,,25.2,28.3,,Overall,Overall,BR011,,,,,
555722,2017,FL,Florida,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,34.6,,,33.2,36,,Overall,Overall,BR011,,,,,
555246,2017,GA,Georgia,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,33.1,,,31.6,34.6,,Overall,Overall,BR011,,,,,
554560,2017,HI,Hawaii,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,30.6,,,29.2,32,,Overall,Overall,BR011,,,,,
555868,2017,ID,Idaho,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,29.8,,,28.1,31.5,,Overall,Overall,BR011,,,,,
554386,2017,IL,Illinois,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); BRFSS,BRFSS,%,Crude,32.2,,,30.8,33.8,,Overall,Overall,BR011,,,,,
