ID,Year,LocationAbbr,LocationDesc,Class,Topic,Indicator,DataSource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,FootnoteType,FootNoteSymbol,FootnoteText,URL,DatasourceAbbr
513727,2017,AL,Alabama,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,14.1,,,13.2,15.2,,Overall,Overall,BR016,,,,,
512185,2017,AK,Alaska,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,7.4,,,6.2,8.9,,Overall,Overall,BR016,,,,,
513100,2017,AZ,Arizona,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.4,,,9.9,11,,Overall,Overall,BR016,,,,,
513032,2017,AR,Arkansas,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,12.2,,,11,13.6,,Overall,Overall,BR016,,,,,
510122,2017,CA,California,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.5,,,9.6,11.4,,Overall,Overall,BR016,,,,,
512814,2017,CO,Colorado,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,7.4,,,6.8,8,,Overall,Overall,BR016,,,,,
512084,2017,CT,Connecticut,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,9.8,,,9.1,10.5,,Overall,Overall,BR016,,,,,
512808,2017,DE,Delaware,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11.3,,,10.1,12.5,,Overall,Overall,BR016,,,,,
512923,2017,DC,"Washington, DC",Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,7.8,,,7,8.8,,Overall,Overall,BR016,,,,,
512346,2017,FL,Florida,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.5,,,9.7,11.4,,Overall,Overall,BR016,,,,,
