County,County Code,asthma.Deaths,asthma.Population,Crude Rate,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error,% of Total Deaths
"Ada County, ID",16001,29,3850022,0.8,0.8,0.5,1.1,0.1,0.10%
"Adams County, CO",8001,32,4307114,0.7,0.9,0.6,1.2,0.2,0.10%
"Adams County, PA",42001,11,917205,Unreliable,Unreliable,0.4,1.6,0.3,0.00%
"Aiken County, SC",45003,15,1483389,Unreliable,Unreliable,0.5,1.6,0.3,0.10%
"Alachua County, FL",12001,20,2318309,0.9,0.9,0.5,1.4,0.2,0.10%
"Alamance County, NC",37001,13,1415303,Unreliable,Unreliable,0.5,1.6,0.3,0.00%
"Alameda County, CA",6001,181,14400540,1.3,1.2,1,1.4,0.1,0.60%
"Albany County, NY",36001,36,2763296,1.3,1.1,0.8,1.6,0.2,0.10%
"Alexandria city, VA",51510,14,1359914,Unreliable,Unreliable,0.6,2,0.3,0.00%
"Allegany County, MD",24001,13,657512,Unreliable,Unreliable,0.8,2.6,0.4,0.00%
"Allegheny County, PA",42003,108,11039858,1,0.8,0.6,0.9,0.1,0.40%
"Allen County, IN",18003,24,3290082,0.7,0.7,0.4,1,0.1,0.10%
"Allen County, OH",39003,13,941932,Unreliable,Unreliable,0.6,2.1,0.3,0.00%
"Anchorage Borough, AK",2020,26,2670747,1,1.1,0.7,1.7,0.2,0.10%
"Anderson County, SC",45007,21,1738922,1.2,1.1,0.7,1.6,0.2,0.10%
"Anne Arundel County, MD",24003,32,5030230,0.6,0.6,0.4,0.9,0.1,0.10%
"Anoka County, MN",27003,26,3077090,0.8,0.8,0.5,1.2,0.2,0.10%
"Arapahoe County, CO",8005,48,5540819,0.9,0.9,0.7,1.3,0.1,0.20%
"Arlington County, VA",51013,10,2028190,Unreliable,Unreliable,0.3,1.3,0.2,0.00%
"Ashtabula County, OH",39007,15,894380,Unreliable,Unreliable,0.8,2.5,0.4,0.10%
"Atlantic County, NJ",34001,24,2455937,1,0.9,0.6,1.3,0.2,0.10%
"Baltimore city, MD",24510,166,5557349,3,2.9,2.4,3.3,0.2,0.60%
"Baltimore County, MD",24005,71,7405418,1,0.9,0.7,1.2,0.1,0.20%
"Barnstable County, MA",25001,20,1932450,1,0.5,0.3,0.9,0.1,0.10%
"Bay County, FL",12005,10,1599042,Unreliable,Unreliable,0.3,1.1,0.2,0.00%
"Bay County, MI",26017,15,953395,Unreliable,Unreliable,0.7,2.2,0.4,0.10%
"Beaufort County, SC",45013,13,1580953,Unreliable,Unreliable,0.4,1.5,0.2,0.00%
"Beaver County, PA",42007,17,1517887,Unreliable,Unreliable,0.4,1.1,0.2,0.10%
"Bell County, TX",48027,27,2983278,0.9,1,0.6,1.4,0.2,0.10%
"Belmont County, OH",39013,10,622615,Unreliable,Unreliable,0.5,2.2,0.4,0.00%
"Bennington County, VT",50003,11,327629,Unreliable,Unreliable,1.3,5.4,1,0.00%
"Benton County, AR",5007,14,2207652,Unreliable,Unreliable,0.4,1.1,0.2,0.00%
"Benton County, WA",53005,14,1693268,Unreliable,Unreliable,0.4,1.4,0.2,0.00%
"Bergen County, NJ",34003,62,8356663,0.7,0.6,0.4,0.7,0.1,0.20%
"Berkeley County, SC",45015,20,1796086,1.1,1.2,0.7,1.9,0.3,0.10%
"Berkeley County, WV",54003,11,993689,Unreliable,Unreliable,0.5,1.9,0.3,0.00%
"Berks County, PA",42011,37,3733012,1,0.8,0.5,1.1,0.1,0.10%
"Berkshire County, MA",25003,14,1157385,Unreliable,Unreliable,0.4,1.2,0.2,0.00%
"Bernalillo County, NM",35001,61,6065876,1,0.9,0.7,1.2,0.1,0.20%
"Berrien County, MI",26021,22,1397352,1.6,1.3,0.8,2.1,0.3,0.10%
"Bexar County, TX",48029,100,16701166,0.6,0.6,0.5,0.8,0.1,0.30%
"Bibb County, GA",13021,18,1389506,Unreliable,Unreliable,0.7,2,0.3,0.10%
"Black Hawk County, IA",19013,16,1191317,Unreliable,Unreliable,0.6,1.7,0.3,0.10%
"Blue Earth County, MN",27013,10,591029,Unreliable,Unreliable,0.8,3.5,0.6,0.00%
"Bolivar County, MS",28011,13,298974,Unreliable,Unreliable,2.2,7.3,1.2,0.00%
"Bonneville County, ID",16019,13,986600,Unreliable,Unreliable,0.7,2.3,0.4,0.00%
"Boone County, MO",29019,14,1550138,Unreliable,Unreliable,0.6,1.8,0.3,0.00%
"Boulder County, CO",8013,30,2812834,1.1,1.1,0.7,1.6,0.2,0.10%
"Brazoria County, TX",48039,16,3059438,Unreliable,Unreliable,0.3,0.9,0.1,0.10%
"Brazos County, TX",48041,11,1890506,Unreliable,Unreliable,0.4,1.5,0.3,0.00%
"Brevard County, FL",12009,44,5075186,0.9,0.7,0.5,1,0.1,0.20%
"Bristol County, MA",25005,52,4995864,1,0.9,0.6,1.1,0.1,0.20%
"Bronx County, NY",36005,431,12856931,3.4,3.4,3.1,3.7,0.2,1.50%
"Broome County, NY",36007,27,1769773,1.5,1.1,0.7,1.6,0.2,0.10%
"Broward County, FL",12011,153,16744649,0.9,0.8,0.7,0.9,0.1,0.50%
"Brown County, WI",55009,12,2308256,Unreliable,Unreliable,0.3,0.8,0.1,0.00%
"Bucks County, PA",42017,48,5643119,0.9,0.7,0.5,0.9,0.1,0.20%
