id,County,County Code,clrd.Deaths,clrd.Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL",1001,333,497861,66.9,64.4
,"Baldwin County, AL",1003,1006,1798345,55.9,41.1
,"Barbour County, AL",1005,125,238345,52.4,42.2
,"Bibb County, AL",1007,159,203590,78.1,69.6
,"Blount County, AL",1009,497,519646,95.6,78.2
,"Bullock County, AL",1011,37,94838,39,33.2
,"Butler County, AL",1013,149,182122,81.8,57.7
,"Calhoun County, AL",1015,887,1045553,84.8,69.7
,"Chambers County, AL",1017,287,305750,93.9,68.2
,"Cherokee County, AL",1019,218,233780,93.3,64.6
,"Chilton County, AL",1021,361,395343,91.3,78.4
,"Choctaw County, AL",1023,72,119799,60.1,39.2
,"Clarke County, AL",1025,152,223911,67.9,50.3
,"Clay County, AL",1027,112,121956,91.8,63.5
,"Cleburne County, AL",1029,157,134542,116.7,86.1
,"Coffee County, AL",1031,293,459793,63.7,53.3
,"Colbert County, AL",1033,460,490281,93.8,66.2
,"Conecuh County, AL",1035,134,114684,116.8,76.2
,"Coosa County, AL",1037,105,97776,107.4,72.3
,"Covington County, AL",1039,277,338949,81.7,54.5
,"Crenshaw County, AL",1041,129,125434,102.8,76.4
,"Cullman County, AL",1043,725,734155,98.8,76.3
,"Dale County, AL",1045,343,447080,76.7,66.5
,"Dallas County, AL",1047,205,372387,55.1,45.4
,"DeKalb County, AL",1049,639,640674,99.7,85.7
,"Elmore County, AL",1051,519,728804,71.2,69.8
,"Escambia County, AL",1053,236,339836,69.4,54.9
,"Etowah County, AL",1055,1034,931464,111,84.8
,"Fayette County, AL",1057,139,151395,91.8,62.4
,"Franklin County, AL",1059,283,284664,99.4,83.1
,"Geneva County, AL",1061,211,240067,87.9,62.6
,"Greene County, AL",1063,33,77603,42.5,29.4
,"Hale County, AL",1065,66,136717,48.3,35.4
,"Henry County, AL",1067,110,155228,70.9,47.6
,"Houston County, AL",1069,516,932476,55.3,45
,"Jackson County, AL",1071,521,473355,110.1,80.3
,"Jefferson County, AL",1073,2855,5936063,48.1,41.5
,"Lamar County, AL",1075,150,127050,118.1,76.2
,"Lauderdale County, AL",1077,623,833764,74.7,54.2
,"Lawrence County, AL",1079,280,301723,92.8,75.2
,"Lee County, AL",1081,649,1377689,47.1,59.9
,"Limestone County, AL",1083,444,810429,54.8,52.8
,"Lowndes County, AL",1085,50,95452,52.4,41
,"Macon County, AL",1087,61,177544,34.4,27.1
,"Madison County, AL",1089,1505,3152814,47.7,44.9
,"Marengo County, AL",1091,110,180527,60.9,43.4
,"Marion County, AL",1093,286,272133,105.1,70.6
,"Marshall County, AL",1095,862,852896,101.1,83.1
,"Mobile County, AL",1097,2101,3726650,56.4,50.2
,"Monroe County, AL",1099,128,198210,64.6,47.5
,"Montgomery County, AL",1101,951,2049669,46.4,44.3
,"Morgan County, AL",1103,783,1075716,72.8,60.8
,"Perry County, AL",1105,78,88696,87.9,66.5
,"Pickens County, AL",1107,129,179568,71.8,52.7
,"Pike County, AL",1109,150,298661,50.2,47.4
,"Randolph County, AL",1111,175,204384,85.6,60
,"Russell County, AL",1113,354,517190,68.4,67.2
,"St. Clair County, AL",1115,614,778215,78.9,70.2
,"Shelby County, AL",1117,674,1853444,36.4,37.6
,"Sumter County, AL",1119,33,118716,27.8,20.2
,"Talladega County, AL",1121,606,728993,83.1,68.9
,"Tallapoosa County, AL",1123,326,369524,88.2,62.8
,"Tuscaloosa County, AL",1125,894,1820296,49.1,53.3
,"Walker County, AL",1127,714,589404,121.1,90.9
,"Washington County, AL",1129,96,152214,63.1,49
,"Wilcox County, AL",1131,48,100379,47.8,35.5
,"Winston County, AL",1133,312,216279,144.3,99.2
