"","FIPS","asthma.Deaths","asthma.SMR","asthma.Population","ckd.Deaths","ckd.SMR","ckd.Population","clrd.Deaths","clrd.SMR","clrd.Population","diabetes.Deaths","diabetes.SMR","diabetes.Population","hta.Deaths","hta.SMR","hta.Population","ischemic.Deaths","ischemic.SMR","ischemic.Population","obesity.Deaths","obesity.SMR","obesity.Population"
"1817","35039",NA,NA,NA,40,11.156698621311,358529,150,41.8376198299161,358529,153,42.6743722265144,358529,77,21.4766448460236,358529,349,97.3421954709382,358529,15,4.18376198299161,358529
"1","01001",NA,NA,NA,46,9.23952669520208,497861,333,66.8861389022237,497861,135,27.1160022576583,497861,99,19.8850683222827,497861,561,112.682053826269,497861,NA,NA,NA
"5","01009",NA,NA,NA,49,9.42949623397467,519646,497,95.6420332303145,519646,77,14.8177797962459,519646,65,12.5085154124154,519646,618,118.927115767272,519646,12,2.30926438383053,519646
"7","01013",NA,NA,NA,20,10.9816496634124,182122,149,81.8132899924227,182122,119,65.340815497304,182122,104,57.1045782497447,182122,267,146.605023006556,182122,NA,NA,NA
"8","01015",NA,NA,NA,120,11.4771800186122,1045553,887,84.8354889709082,1045553,155,14.824690857374,1045553,82,7.84273967938498,1045553,1718,164.314960599797,1045553,18,1.72157700279182,1045553
"9","01017",6,1.96238757154538,305750,34,11.1201962387572,305750,287,93.8675388389207,305750,204,66.7211774325429,305750,143,46.7702371218316,305750,336,109.893704006541,305750,NA,NA,NA
"16","01031",NA,NA,NA,43,9.35203450248264,459793,293,63.7243281215678,459793,104,22.6188741455394,459793,65,14.1367963409621,459793,596,129.623547987899,459793,NA,NA,NA
"17","01033",NA,NA,NA,78,15.9092438825898,490281,460,93.8237459742474,490281,98,19.9885371858179,490281,108,22.028183837432,490281,526,107.2854138749,490281,11,2.24361131677548,490281
"20","01039",NA,NA,NA,45,13.2763336077109,338949,277,81.7232090963537,338949,95,28.0278153940563,338949,59,17.4067485078876,338949,554,163.446418192707,338949,10,2.95029635726909,338949
"22","01043",NA,NA,NA,74,10.0796153400849,734155,725,98.7529881292098,734155,236,32.1458002737841,734155,336,45.7669020847096,734155,892,121.500228153455,734155,17,2.31558730785733,734155
"23","01045",NA,NA,NA,48,10.7363335420954,447080,343,76.7200501028899,447080,159,35.5641048581909,447080,149,33.3273687035877,447080,475,106.244967343652,447080,NA,NA,NA
"26","01051",NA,NA,NA,54,7.4093995093331,728804,519,71.2125619508126,728804,160,21.9537763239499,728804,165,22.6398318340734,728804,594,81.5033946026641,728804,13,1.78374432632093,728804
"28","01055",18,1.93244183350081,931464,158,16.9625449829516,931464,1034,111.008047546658,931464,330,35.4281002808482,931464,216,23.1893020020097,931464,1478,158.674946106344,931464,21,2.25451547241761,931464
"34","01067",NA,NA,NA,22,14.1727008014018,155228,110,70.863504007009,155228,53,34.1433246579225,155228,36,23.1916922204757,155228,230,148.169144741928,155228,NA,NA,NA
"35","01069",33,3.53896507792158,932476,111,11.9037916257362,932476,516,55.3365448547737,932476,187,20.0541354415556,932476,253,27.1320655973988,932476,786,84.2917136741321,932476,17,1.8231032219596,932476
"36","01071",NA,NA,NA,53,11.1966705749385,473355,521,110.065384330999,473355,129,27.2522736635295,473355,72,15.2105713470862,473355,813,171.752701460849,473355,16,3.38012696601916,473355
"39","01077",NA,NA,NA,120,14.3925619239977,833764,623,74.7213839887546,833764,155,18.5903924851637,833764,163,19.5498966134302,833764,900,107.944214429983,833764,12,1.43925619239977,833764
"40","01079",NA,NA,NA,42,13.9200524984837,301723,280,92.8003499898914,301723,76,25.1886664258277,301723,43,14.2514823198762,301723,329,109.040411238122,301723,NA,NA,NA
"42","01083",NA,NA,NA,80,9.87131506893263,810429,444,54.7857986325761,810429,107,13.2028839046974,810429,100,12.3391438361658,810429,750,92.5435787712434,810429,NA,NA,NA
"45","01089",42,1.33214328533177,3152814,327,10.3716870072259,3152814,1505,47.7351343910551,3152814,558,17.6984750765507,3152814,717,22.7415889424495,3152814,1830,58.0433860037414,3152814,31,0.983248615363926,3152814
"48","01095",NA,NA,NA,92,10.7867782238397,852896,862,101.067422053803,852896,163,19.1113570704986,852896,104,12.1937492965145,852896,1017,119.240798409185,852896,NA,NA,NA
"49","01097",53,1.42218882910925,3726650,375,10.0626568097353,3726650,2101,56.3777118860102,3726650,1003,26.9142527471053,3726650,904,24.2577113493352,3726650,5189,139.240336495244,3726650,121,3.24688393060792,3726650
"52","01103",NA,NA,NA,124,11.5272060655415,1075716,783,72.78872862354,1075716,228,21.1951853463182,1075716,251,23.3332961487976,1075716,1516,140.929390285168,1075716,16,1.4873814278118,1075716
"56","01111",NA,NA,NA,23,11.2533270706122,204384,175,85.6231407546579,204384,48,23.4852043212776,204384,33,16.1460779708783,204384,440,215.281039611711,204384,NA,NA,NA
"57","01113",NA,NA,NA,49,9.47427444459483,517190,354,68.4467990487055,517190,350,67.6733888899631,517190,251,48.5314874610878,517190,408,78.8878361917284,517190,NA,NA,NA
"58","01115",NA,NA,NA,95,12.2074233984182,778215,614,78.8985049118817,778215,117,15.0344056591045,778215,93,11.9504250110831,778215,889,114.235783170461,778215,15,1.9274879050134,778215
"59","01117",NA,NA,NA,96,5.17954683281502,1853444,674,36.3647350553888,1853444,188,10.1432792142627,1853444,339,18.290274753378,1853444,991,53.4680303262467,1853444,NA,NA,NA
"61","01121",13,1.78328186964758,728993,89,12.2086220306642,728993,606,83.1283702312642,728993,179,24.5544195897629,728993,102,13.9919039003118,728993,617,84.6373010440429,728993,16,2.19480845495087,728993
"93","02261",NA,NA,NA,NA,NA,NA,26,30.3976243087463,85533,19,22.2136485333146,85533,NA,NA,NA,65,75.9940607718658,85533,NA,NA,NA
"108","04021",66,1.8132396163185,3639894,184,5.05509226367581,3639894,1823,50.0838760689185,3639894,982,26.9788076246176,3639894,1000,27.4733275199772,3639894,3428,94.1785667384819,3639894,106,2.91217271711759,3639894
"116","05009",NA,NA,NA,31,9.24655491260514,335260,269,80.2362345642188,335260,71,21.177593509515,335260,87,25.9500089482789,335260,875,260.991469307403,335260,NA,NA,NA
"117","05011",NA,NA,NA,11,10.9305907487455,100635,63,62.6024742882695,100635,27,26.8296318378298,100635,15,14.9053510210165,100635,285,283.201669399314,100635,NA,NA,NA
"128","05033",NA,NA,NA,43,7.6847878730473,559547,401,71.6651148160923,559547,147,26.2712515659989,559547,102,18.2290316988564,559547,963,172.10350515685,559547,NA,NA,NA
"130","05037",NA,NA,NA,10,6.41153049644481,155969,179,114.766395886362,155969,92,58.9860805672922,155969,73,46.8041726240471,155969,252,161.570568510409,155969,NA,NA,NA
"134","05045",24,2.22043353964862,1080870,118,10.917131569939,1080870,522,48.2944294873574,1080870,136,12.5824567246755,1080870,111,10.2695051208749,1080870,1042,96.4038228464108,1080870,NA,NA,NA
"135","05047",NA,NA,NA,28,17.3822353554667,161084,165,102.431029773286,161084,53,32.9020883514191,161084,25,15.5198529959524,161084,372,230.935412579772,161084,NA,NA,NA
"137","05051",NA,NA,NA,141,16.0773170720583,877012,870,99.2004670403598,877012,229,26.111387301428,877012,211,24.0589638454206,877012,1897,216.302627558118,877012,17,1.9383999306737,877012
"138","05053",NA,NA,NA,15,9.22923575775102,162527,136,83.6784042036092,162527,50,30.7641191925034,162527,39,23.9960129701527,162527,178,109.520264325312,162527,NA,NA,NA
"143","05063",NA,NA,NA,27,8.08647133345912,333891,263,78.7682207666574,333891,57,17.071439481747,333891,130,38.9348619759143,333891,791,236.903660176525,333891,NA,NA,NA
"153","05083",NA,NA,NA,26,13.1558308160157,197631,192,97.1507506413467,197631,59,29.8536160824972,197631,34,17.2037787594052,197631,413,208.97531257748,197631,NA,NA,NA
"154","05085",NA,NA,NA,77,12.0261013253701,640274,411,64.191268113339,640274,164,25.6140339916973,640274,193,30.143344880473,640274,638,99.6448395530663,640274,29,4.52931088877574,640274
"155","05087",NA,NA,NA,NA,NA,NA,103,71.9082924922158,143238,60,41.8883257236208,143238,65,45.3790195339226,143238,308,215.026738714587,143238,NA,NA,NA
"169","05115",NA,NA,NA,64,11.2755064288005,567602,396,69.7671960282029,567602,151,26.6031479804511,567602,87,15.3276415516506,567602,820,144.467426119006,567602,21,3.69977554695015,567602
"170","05117",NA,NA,NA,10,13.274395019447,75333,88,116.814676171133,75333,39,51.7701405758433,75333,12,15.9292740233364,75333,169,224.337275828654,75333,NA,NA,NA
"172","05121",NA,NA,NA,21,13.1578122944092,159601,174,109.021873296533,159601,36,22.5562496475586,159601,37,23.1828121377686,159601,342,214.284371651807,159601,NA,NA,NA
"174","05125",22,2.12453851643475,1035519,128,12.3609513683477,1035519,669,64.6052848861296,1035519,280,27.0395811182605,1035519,295,28.4881301067387,1035519,1022,98.6944710816508,1035519,26,2.51081824669562,1035519
"177","05131",24,2.09474167471106,1145726,153,13.353978176283,1145726,844,73.6650822273388,1145726,384,33.5158667953769,1145726,326,28.4535744148252,1145726,1913,166.968367655094,1145726,37,3.22939341517955,1145726
"184","05145",NA,NA,NA,66,9.33550973297613,706978,574,81.1906452534591,706978,179,25.3190339727686,706978,206,29.1381061362588,706978,1315,186.002959073691,706978,28,3.96051928065654,706978
"190","06007",24,1.18755384195934,2020961,133,6.58102754085804,2020961,1369,67.7400504017643,2020961,489,24.1964095299217,2020961,881,43.5931222819243,2020961,2582,127.761000830793,2020961,27,1.33599807220426,2020961
"195","06017",18,1.08621991246274,1657123,76,4.58626185262048,1657123,841,50.7506081322871,1657123,250,15.0863876730937,1657123,273,16.4743353390183,1657123,1866,112.604797591971,1657123,18,1.08621991246274,1657123
"198","06023",41,3.36337676464484,1219013,37,3.0352424461429,1219013,734,60.2126474451052,1219013,366,30.0242901429271,1219013,334,27.3992155949116,1219013,1523,124.937141769612,1219013,52,4.26574614052516,1219013
"200","06027",NA,NA,NA,15,9.10122381122848,164813,143,86.7650003337115,164813,49,29.730664450013,164813,79,47.93311207247,164813,249,151.080315266393,164813,NA,NA,NA
"217","06061",50,1.49633756417792,3341492,218,6.52403177981572,3341492,1555,46.5360982459333,3341492,667,19.9611431061334,3341492,783,23.4326462550262,3341492,3821,114.350116654477,3341492,48,1.4364840616108,3341492
"226","06079",18,0.718953491298067,2503639,191,7.62889537988504,2503639,1232,49.2083722932899,2503639,436,17.4146512336643,2503639,624,24.9237210316663,2503639,2506,100.094302732942,2503639,39,1.55773256447914,2503639
"231","06089",12,0.744651540311711,1611492,148,9.18403566384444,1611492,1658,102.886021153068,1611492,427,26.4971839760917,1611492,514,31.8959076433516,1611492,2782,172.635048762265,1611492,61,3.78531199658453,1611492
"233","06093",NA,NA,NA,35,8.84459292129323,395722,403,101.839169922319,395722,144,36.3891823047493,395722,109,27.5445893834561,395722,618,156.170240724549,395722,21,5.30675575277594,395722
"255","08019",NA,NA,NA,NA,NA,NA,29,34.8298143210588,83262,NA,NA,NA,NA,NA,NA,53,63.6544882419351,83262,NA,NA,NA
"265","08039",NA,NA,NA,12,5.46794191223042,219461,82,37.3642697335745,219461,18,8.20191286834563,219461,30,13.669854780576,219461,126,57.4133900784194,219461,NA,NA,NA
"269","08047",NA,NA,NA,NA,NA,NA,13,25.1236858379716,51744,NA,NA,NA,NA,NA,NA,37,71.5058750773036,51744,NA,NA,NA
"271","08051",NA,NA,NA,NA,NA,NA,48,33.3104324110507,144099,NA,NA,NA,NA,NA,NA,52,36.0863017786383,144099,NA,NA,NA
"274","08057",NA,NA,NA,NA,NA,NA,14,113.177041228779,12370,NA,NA,NA,NA,NA,NA,14,113.177041228779,12370,NA,NA,NA
"278","08065",NA,NA,NA,NA,NA,NA,17,25.206470649289,67443,NA,NA,NA,NA,NA,NA,39,57.8266091366042,67443,NA,NA,NA
"279","08067",NA,NA,NA,27,5.56546116029559,485135,182,37.5153307842147,485135,55,11.3370505117132,485135,56,11.5431787028353,485135,336,69.2590722170118,485135,NA,NA,NA
"281","08071",NA,NA,NA,NA,NA,NA,112,85.5686879722513,130889,45,34.3802764174224,130889,31,23.684190420891,130889,170,129.881044243596,130889,NA,NA,NA
"283","08075",NA,NA,NA,11,5.49143336395223,200312,135,67.3948640121411,200312,57,28.4556092495707,200312,51,25.4602819601422,200312,234,116.817764287711,200312,NA,NA,NA
"284","08077",1,0.0745777779103605,1340882,44,3.28142222805586,1340882,1035,77.1880001372231,1340882,263,19.6139555904248,1340882,199,14.8409778041617,1340882,1829,136.402755798049,1340882,49,3.65431111760766,1340882
"287","08083",NA,NA,NA,16,6.85850476023096,233287,183,78.4441481951416,233287,71,30.4346148735249,233287,49,21.0041708282073,233287,280,120.023833304042,233287,NA,NA,NA
"288","08085",NA,NA,NA,21,5.66017902337654,371013,255,68.730745283858,371013,63,16.9805370701296,371013,42,11.3203580467531,371013,457,123.176276842051,371013,NA,NA,NA
"292","08093",NA,NA,NA,NA,NA,NA,49,32.4660266221418,150927,20,13.2514394376089,150927,12,7.95086366256535,150927,100,66.2571971880446,150927,NA,NA,NA
"295","08099",NA,NA,NA,12,10.9166333102871,109924,112,101.88857756268,109924,34,30.9304610458135,109924,51,46.3956915687202,109924,86,78.2358720570576,109924,NA,NA,NA
"296","08101",28,1.9093026681141,1466504,93,6.34161243337897,1466504,1422,96.9652997877946,1466504,493,33.617364835009,1466504,289,19.7067311101777,1466504,1425,97.1698679308069,1466504,44,3.0003327641793,1466504
"297","08103",NA,NA,NA,NA,NA,NA,34,56.9600107218844,59691,13,21.7788276289558,59691,12,20.1035331959592,59691,38,63.6611884538708,59691,NA,NA,NA
"305","08119",NA,NA,NA,NA,NA,NA,92,43.0075356682062,213916,20,9.349464275697,213916,57,26.6459731857365,213916,173,80.8728659847791,213916,NA,NA,NA
"306","08121",NA,NA,NA,NA,NA,NA,47,107.916972814107,43552,NA,NA,NA,NA,NA,NA,61,140.062454077884,43552,NA,NA,NA
"311","09005",6,0.3597931189566,1667625,133,7.9754141368713,1667625,846,50.7308297728806,1667625,254,15.2312420358294,1667625,282,16.9102765909602,1667625,1985,119.031556854808,1667625,24,1.4391724758264,1667625
"312","09007",NA,NA,NA,142,9.5861095921853,1481310,686,46.3103604242191,1481310,283,19.1047113703411,1481310,226,15.2567659706611,1481310,1586,107.067393050746,1481310,54,3.64542195759159,1481310
"314","09011",33,1.3485713725269,2447034,203,8.29575723099883,2447034,1240,50.6735909676776,2447034,472,19.2886572070515,2447034,445,18.1852806295295,2447034,2550,104.207787877079,2447034,40,1.63463196669928,2447034
"316","09015",1,0.0947929295849681,1054931,69,6.5407121413628,1054931,563,53.368419356337,1054931,263,24.9305404808466,1054931,167,15.8304192406897,1054931,1412,133.847616573975,1054931,25,2.3698232396242,1054931
"317","10001",40,2.59755946300653,1539907,185,12.0137125164052,1539907,846,54.9383826425882,1539907,370,24.0274250328104,1539907,328,21.2999875966536,1539907,2050,133.124922479085,1539907,31,2.01310858383006,1539907
